id,code,name,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,phone,email,opening_hours,status,tier,float_balance,max_float,license_number,license_expiry,created_at
63,NDB-006,Agence Dakhlet Nouadhibou 6,4,Dakhlet Nouadhibou,10,,"Rue 2, undefined",NaN,NaN,+22223138435,agence.ndb006@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2824000,2000000,LIC-000063,2027-01-04,2020-06-24T08:28:57.793Z
51,NKC-S-009,Agence Nouakchott-Sud 9,3,Nouakchott-Sud,8,,"Rue 36, undefined",NaN,NaN,+22225184775,agence.nkcs009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3880000,2000000,LIC-000051,2026-08-21,2020-07-21T20:28:05.812Z
44,NKC-S-002,Agence Nouakchott-Sud 2,3,Nouakchott-Sud,8,,"Rue 90, undefined",NaN,NaN,+22233502834,agence.nkcs002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2620000,10000000,LIC-000044,2027-08-21,2022-02-07T15:54:41.921Z
33,NKC-O-014,Agence Nouakchott-Ouest 14,2,Nouakchott-Ouest,5,,"Rue 29, undefined",NaN,NaN,+22222956224,agence.nkco014@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1501000,2000000,LIC-000033,2027-12-20,2022-06-25T01:51:14.292Z
23,NKC-O-004,Agence Nouakchott-Ouest 4,2,Nouakchott-Ouest,5,,"Rue 95, undefined",NaN,NaN,+22236911728,agence.nkco004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4675000,5000000,LIC-000023,2025-12-04,2023-06-03T12:22:27.241Z
49,NKC-S-007,Agence Nouakchott-Sud 7,3,Nouakchott-Sud,7,,"Rue 97, undefined",NaN,NaN,+22237916874,agence.nkcs007@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3591000,2000000,LIC-000049,2025-06-01,2022-11-03T02:47:23.906Z
57,NKC-S-015,Agence Nouakchott-Sud 15,3,Nouakchott-Sud,7,,"Rue 50, undefined",NaN,NaN,+22237700654,agence.nkcs015@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,167000,2000000,LIC-000057,2026-10-03,2023-09-02T14:05:51.134Z
9,NKC-N-009,Agence Nouakchott-Nord 9,1,Nouakchott-Nord,2,,"Rue 90, undefined",NaN,NaN,+22223067674,agence.nkcn009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3569000,2000000,LIC-000009,2026-01-03,2022-02-25T16:10:31.342Z
54,NKC-S-012,Agence Nouakchott-Sud 12,3,Nouakchott-Sud,9,,"Rue 49, undefined",NaN,NaN,+22222070629,agence.nkcs012@nafadpay.mr,08:00-18:00,INACTIVE,BRONZE,446000,2000000,LIC-000054,2025-02-25,2023-02-18T22:10:21.195Z
27,NKC-O-008,Agence Nouakchott-Ouest 8,2,Nouakchott-Ouest,4,,"Rue 36, undefined",NaN,NaN,+22235341959,agence.nkco008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,727000,2000000,LIC-000027,2027-10-02,2022-04-26T02:24:29.712Z
97,TYS-002,Agence Tiris Zemmour 2,15,Tiris Zemmour,54,,"Rue 52, undefined",NaN,NaN,+22225200374,agence.tys002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,1975000,10000000,LIC-000097,2025-06-02,2020-01-09T10:10:52.556Z
43,NKC-S-001,Agence Nouakchott-Sud 1,3,Nouakchott-Sud,8,,"Rue 10, undefined",NaN,NaN,+22232456290,agence.nkcs001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3610000,10000000,LIC-000043,2027-06-27,2020-01-08T01:14:16.796Z
87,HCH-001,Agence Hodh Ech Chargui 1,10,Hodh Ech Chargui,35,,"Rue 30, undefined",NaN,NaN,+22234139669,agence.hch001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,4861000,10000000,LIC-000087,2027-06-22,2022-05-11T10:40:40.520Z
15,NKC-N-015,Agence Nouakchott-Nord 15,1,Nouakchott-Nord,2,,"Rue 84, undefined",NaN,NaN,+22236613852,agence.nkcn015@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3356000,2000000,LIC-000015,2025-10-16,2021-03-24T22:40:37.753Z
90,HGH-002,Agence Hodh El Gharbi 2,11,Hodh El Gharbi,43,,"Rue 5, undefined",NaN,NaN,+22222564788,agence.hgh002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3284000,10000000,LIC-000090,2025-12-28,2023-05-08T23:15:26.849Z
